Tag;FormatedTag;Group;Element;VR;Name
00020000;(0002,0000);0002;0000;UL;File Meta Information Group Length
00020001;(0002,0001);0002;0001;OB;File Meta Information Version
00020002;(0002,0002);0002;0002;UI;Media Storage SOP Class UID
00020003;(0002,0003);0002;0003;UI;Media Storage SOP Instance UID
00020010;(0002,0010);0002;0010;UI;Transfer Syntax UID
00020012;(0002,0012);0002;0012;UI;Implementation Class UID
00020013;(0002,0013);0002;0013;SH;Implementation Version Name
00020016;(0002,0016);0002;0016;AE;Source Application Entity Title
00020017;(0002,0017);0002;0017;AE;Sending Application Entity Title
00020018;(0002,0018);0002;0018;AE;Receiving Application Entity Title
00020100;(0002,0100);0002;0100;UI;Private Information Creator UID
00020102;(0002,0102);0002;0102;OB;Private Information
00041130;(0004,1130);0004;1130;CS;File-set ID
00041141;(0004,1141);0004;1141;CS;File-set Descriptor File ID
00041142;(0004,1142);0004;1142;CS;Specific Character Set of File-set Descriptor File
00041200;(0004,1200);0004;1200;UL;Offset of the First Directory Record of the Root Directory Entity
00041202;(0004,1202);0004;1202;UL;Offset of the Last Directory Record of the Root Directory Entity
00041212;(0004,1212);0004;1212;US;File-set Consistency Flag
00041220;(0004,1220);0004;1220;SQ;Directory Record Sequence
00041400;(0004,1400);0004;1400;UL;Offset of the Next Directory Record
00041410;(0004,1410);0004;1410;US;Record In-use Flag
00041420;(0004,1420);0004;1420;UL;Offset of Referenced Lower-Level Directory Entity
00041430;(0004,1430);0004;1430;CS;Directory Record Type
00041432;(0004,1432);0004;1432;UI;Private Record UID
00041500;(0004,1500);0004;1500;CS;Referenced File ID
00041510;(0004,1510);0004;1510;UI;Referenced SOP Class UID in File
00041511;(0004,1511);0004;1511;UI;Referenced SOP Instance UID in File
00041512;(0004,1512);0004;1512;UI;Referenced Transfer Syntax UID in File
0004151A;(0004,151A);0004;151A;UI;Referenced Related General SOP Class UID in File
00080005;(0008,0005);0008;0005;CS;Specific Character Set
00080006;(0008,0006);0008;0006;SQ;Language Code Sequence
00080008;(0008,0008);0008;0008;CS;Image Type
00080012;(0008,0012);0008;0012;DA;Instance Creation Date
00080013;(0008,0013);0008;0013;TM;Instance Creation Time
00080014;(0008,0014);0008;0014;UI;Instance Creator UID
00080015;(0008,0015);0008;0015;DT;Instance Coercion DateTime
00080016;(0008,0016);0008;0016;UI;SOP Class UID
00080018;(0008,0018);0008;0018;UI;SOP Instance UID
0008001A;(0008,001A);0008;001A;UI;Related General SOP Class UID
0008001B;(0008,001B);0008;001B;UI;Original Specialized SOP Class UID
00080020;(0008,0020);0008;0020;DA;Study Date
00080021;(0008,0021);0008;0021;DA;Series Date
00080022;(0008,0022);0008;0022;DA;Acquisition Date
00080023;(0008,0023);0008;0023;DA;Content Date
0008002A;(0008,002A);0008;002A;DT;Acquisition DateTime
00080030;(0008,0030);0008;0030;TM;Study Time
00080031;(0008,0031);0008;0031;TM;Series Time
00080032;(0008,0032);0008;0032;TM;Acquisition Time
00080033;(0008,0033);0008;0033;TM;Content Time
00080050;(0008,0050);0008;0050;SH;Accession Number
00080051;(0008,0051);0008;0051;SQ;Issuer of Accession Number Sequence
00080052;(0008,0052);0008;0052;CS;Query/Retrieve Level
00080053;(0008,0053);0008;0053;CS;Query/Retrieve View
00080054;(0008,0054);0008;0054;AE;Retrieve AE Title
00080055;(0008,0055);0008;0055;AE;Station AE Title
00080056;(0008,0056);0008;0056;CS;Instance Availability
00080058;(0008,0058);0008;0058;UI;Failed SOP Instance UID List
00080060;(0008,0060);0008;0060;CS;Modality
00080061;(0008,0061);0008;0061;CS;Modalities in Study
